title,doi,href,authors,journal,volume_issue,date,access,source_file
Electrolyte Engineering to Construct Robust Interphase with High Ionic Conductivity for Wide Temperature Range Lithium Metal Batteries,10.1002/anie.202414636,/doi/10.1002/anie.202414636,"Yanan Li, ,, Bo Wen, ,, Na Li, ,, Yuanjun Zhao, ,, Yuzhi Chen, ,, Xiangkai Yin, ,, Xinyu Da, ,, Yuxin Ouyang, ,, Xinyang Li, ,, Pengxiang Kong, ,, Shujiang Ding, ,, Kai Xi, ,, Guoxin Gao, ,",Angewandte Chemie International Edition,"Volume 64, Issue 2",First published: 17 November 2024,Full Access,page_000.html
Low-Temperature Electrolyte Design for Lithium-Ion Batteries: Prospect and Challenges,10.1002/chem.202101407,/doi/10.1002/chem.202101407,"Qian Li, ,, Gang Liu, ,, Haoran Cheng, ,, Qujiang Sun, ,, Junli Zhang, ,, Jun Ming, ,",Chemistry – A European Journal,"Volume 27, Issue 64",First published: 24 September 2021,Full Access,page_000.html
Bifunctional Electrolyte Additive Enabling Simultaneous Interphase Formation on Both Electrodes in High-Energy Lithium-Ion Batteries,10.1002/smll.202505772,/doi/10.1002/smll.202505772,"Ankita Das, ,, Felix Pfeiffer, ,, Anindityo Arifiadi, ,, Matthias Weiling, ,, Verena Küpers, ,, Masoud Baghernejad, ,, Martin Winter, ,, Frank Glorius, ,",Small,"Volume 21, Issue 42",First published: 01 September 2025,Open Access,page_000.html
Solid Electrolyte Interphase Engineering by Designing Cobalt-Doped Ni3S2-NF Anode for Sodium Metal Anode,10.1002/cctc.202402160,/doi/10.1002/cctc.202402160,"Chaohong Shi, ,, Xiang Zheng, ,, Zhiqian Li, ,, Qi Fang, ,, Jing Tang, ,",ChemCatChem,"Volume 17, Issue 9",First published: 22 February 2025,Full Access,page_000.html
Design Strategies for Electrolytes in Lithium Metal Batteries: Insights into Liquid and Solid-State Systems,10.1002/batt.202500550,/doi/10.1002/batt.202500550,"Un Hwan Lee, ,, Seonhye Park, ,, Joonhee Kang, ,",Batteries & Supercaps,Early View,First published: 05 November 2025,Open Access,page_000.html
Construction of Organic–Inorganic Solid Electrolyte Interphase by Gas-Liquid Plasma for High Performance Lithium Metal Anodes,10.1002/smll.202500300,/doi/10.1002/smll.202500300,"Jiahao Wang, ,, Ping Liu, ,, Zhong Qiu, ,, Tianqi Yang, ,, Feng Cao, ,, Jiayuan Xiang, ,, Xinqi Liang, ,, Shenghui Shen, ,, Yongqi Zhang, ,, Yang Xia, ,, Chen Wang, ,, Wangjun Wan, ,, Jun Zhang, ,, Hui Huang, ,, Ruyi Fang, ,, Xinping He, ,, Yongping Gan, ,, Xinyong Tao, ,, Xinhui Xia, ,, Wenkui Zhang, ,",Small,"Volume 21, Issue 27",First published: 19 May 2025,Full Access,page_000.html
Designing Advanced Electrolytes for High-Voltage High-Capacity Disordered Rocksalt Cathodes,10.1002/smll.202501600,/doi/10.1002/smll.202501600,"Ridwan A. Ahmed, ,, Rohith Srinivaas Mohanakrishnan, ,, Jingyang Wang, ,, Krishna P. Koirala, ,, Qian Zhao, ,, Yanbao Fu, ,, Ying Chen, ,, Justin C. Rastinejad, ,, Tianyu Li, ,, Lirong Zhong, ,, Mateusz Zuba, ,, Carrie Siu, ,, Ozgenur Kahvecioglu, ,, Raphaële J. Clément, ,, Bryan D. McCloskey, ,, Vincent S. Battaglia, ,, Kristin Persson, ,, Chongmin Wang, ,, Wu Xu, ,",Small,"Volume 21, Issue 18",First published: 24 March 2025,Open Access,page_000.html
Fluorinated Surface Engineering Towards High-Rate and Durable Potassium-Ion Battery,10.1002/anie.202404332,/doi/10.1002/anie.202404332,"Xixue Zhang, ,, Feng Wu, ,, Difan Fang, ,, Renjie Chen, ,, Li Li, ,",Angewandte Chemie International Edition,"Volume 63, Issue 28",First published: 03 May 2024,Full Access,page_000.html
Compatible Interfaces Constructed by Surficial Indiumization on Garnet Solid Electrolyte for Long-Cycling All-Solid-State Lithium Metal Battery,10.1002/smll.202411062,/doi/10.1002/smll.202411062,"Xiaoming Zhou, ,, Zejian Ouyang, ,, Jin Liu, ,, Fangyang Liu, ,, Zongliang Zhang, ,, Yanqing Lai, ,, Jie Li, ,, Liangxing Jiang, ,",Small,"Volume 21, Issue 9",First published: 05 February 2025,Full Access,page_000.html
Constructing Solid Electrolyte Interphase for Aqueous Zinc Batteries,10.1002/anie.202309957,/doi/10.1002/anie.202309957,"Yating Li, ,, Zuhao Yu, ,, Jianhang Huang, ,, Yonggang Wang, ,, Yongyao Xia, ,",Angewandte Chemie International Edition,"Volume 62, Issue 47",First published: 19 August 2023,Full Access,page_000.html
Strategies for Mitigating Dissolution of Solid Electrolyte Interphases in Sodium-Ion Batteries,10.1002/anie.202013803,/doi/10.1002/anie.202013803,"Le Anh Ma, ,, Andrew J. Naylor, ,, Leif Nyholm, ,, Reza Younesi, ,",Angewandte Chemie International Edition,"Volume 60, Issue 9",First published: 10 November 2020,Open Access,page_000.html
Interfacial Catalysis Engineering of Solid Electrolyte Interphase Toward High-Performance Batteries,10.1002/smll.202509725,/doi/10.1002/smll.202509725,"Chongyang Hao, ,, Xiaomin Zhang, ,, Xin Zhang, ,, Xiaoyu Zhang, ,, Mingxia Gao, ,, Hongge Pan, ,, Wenping Sun, ,",Small,Early View,First published: 25 October 2025,Full Access,page_000.html
Electrochemical Pretreatment of Solid-Electrolyte Interphase Formation for Enhanced Li4Ti5O12Anode Performance in a Molten Li−Ca Binary Salt Hydrate Electrolyte,10.1002/celc.202200061,/doi/10.1002/celc.202200061,"Shinji Kondou, ,, Yoshifumi Watanabe, ,, Kaoru Dokko, ,, Masayoshi Watanabe, ,, Kazuhide Ueno, ,",ChemElectroChem,"Volume 9, Issue 11",First published: 27 March 2022,Full Access,page_000.html
Interfacial Decomposition Behaviour of Triethyl Phosphate-Based Electrolytes for Lithium-Ion Batteries,10.1002/batt.202400342,/doi/10.1002/batt.202400342,"Florian Gebert, ,, Robin Lundström, ,, Wessel van Ekeren, ,, Andrew J. Naylor, ,",Batteries & Supercaps,"Volume 7, Issue 12",First published: 15 July 2024,Open Access,page_000.html
The Dependence of Solid Electrolyte Interphase on the Crystal Facet of Current Collector in Li Metal Battery,10.1002/anie.202407064,/doi/10.1002/anie.202407064,"Zhimeng Hao, ,, Geng Li, ,, Chunyu Zheng, ,, Xinyi Liu, ,, Shuang Wu, ,, Haixia Li, ,, Kai Zhang, ,, Zhenhua Yan, ,, Jun Chen, ,",Angewandte Chemie International Edition,"Volume 63, Issue 37",First published: 28 June 2024,Full Access,page_000.html
Front Cover: Electrochemical Pretreatment of Solid-Electrolyte Interphase Formation for Enhanced Li4Ti5O12Anode Performance in a Molten Li−Ca Binary Salt Hydrate Electrolyte (ChemElectroChem 11/2022),10.1002/celc.202200411,/doi/10.1002/celc.202200411,"Shinji Kondou, ,, Yoshifumi Watanabe, ,, Kaoru Dokko, ,, Masayoshi Watanabe, ,, Kazuhide Ueno, ,",ChemElectroChem,"Volume 9, Issue 11",First published: 03 May 2022,Free Access,page_000.html
Insights into Anion-Solvent Interactions to Boost Stable Operation of Ether-Based Electrolytes in Pure-SiOx||LiNi0.8Mn0.1Co0.1O2Full Cells,10.1002/anie.202305988,/doi/10.1002/anie.202305988,"Yi-Fan Tian, ,, Shuang-Jie Tan, ,, Zhuo-Ya Lu, ,, Di-Xin Xu, ,, Han-Xian Chen, ,, Chao-Hui Zhang, ,, Xu-Sheng Zhang, ,, Ge Li, ,, Yu-Ming Zhao, ,, Wan-Ping Chen, ,, Quan Xu, ,, Rui Wen, ,, Juan Zhang, ,, Yu-Guo Guo, ,",Angewandte Chemie International Edition,"Volume 62, Issue 33",First published: 20 June 2023,Full Access,page_000.html
Fluorinated Solid Electrolyte Interphase Derived From Fluorinated Polymer Electrolyte To Stabilize Li Metal,10.1002/cssc.202300038,/doi/10.1002/cssc.202300038,"Jialong Fu, ,, Zhuo Li, ,, Xiaoyan Zhou, ,, Zhiyong Li, ,, Xin Guo, ,",ChemSusChem,"Volume 16, Issue 14",First published: 28 March 2023,Full Access,page_000.html
Three Design Strategies for Improving the Thermal Stability of Lithium-Ion Batteries,10.1002/celc.202400157,/doi/10.1002/celc.202400157,"Kazuhiko Mukai, ,",ChemElectroChem,"Volume 11, Issue 15",First published: 03 July 2024,Open Access,page_000.html
Bidentate Coordination Enables Anions-Regulated Solvation Structure for Advanced Aqueous Zinc Metal Batteries,10.1002/anie.202414117,/doi/10.1002/anie.202414117,"Dongdong Wang, ,, Rui Li, ,, Jingjing Dong, ,, Zhongchao Bai, ,, Nana Wang, ,, Shi Xue Dou, ,, Jian Yang, ,",Angewandte Chemie International Edition,"Volume 64, Issue 2",First published: 24 September 2024,Full Access,page_000.html
Enhanced Cathode-Electrolyte Interphase for Prolonged Cycling Stability of Aluminum-Selenium Batteries Using Locally Concentrated Ionic Liquid Electrolytes,10.1002/anie.202500041,/doi/10.1002/anie.202500041,"Cheng Xu, ,, Thomas Diemant, ,, Shuting Zhang, ,, Xu Liu, ,, Stefano Passerini, ,",Angewandte Chemie International Edition,"Volume 64, Issue 17",First published: 11 February 2025,Open Access,page_001.html
Transforming Zinc-Ion Batteries with DTPA-Na: A Synergistic SEI and CEI Engineering Approach for Exceptional Cycling Stability and Self-Discharge Inhibition,10.1002/anie.202409642,/doi/10.1002/anie.202409642,"Yongfeng Huang, ,, Hao Yan, ,, Wenbao Liu, ,, Feiyu Kang, ,",Angewandte Chemie International Edition,"Volume 63, Issue 48",First published: 22 July 2024,Full Access,page_001.html
In Situ Fabricated Non-Flammable Gel Polymer Electrolyte with Stable Interfacial Compatibility for Safer Lithium-ion Batteries,10.1002/smll.202410961,/doi/10.1002/smll.202410961,"Mengfei Ding, ,, Yong Peng, ,, JingJing Tong, ,, Xuning Feng, ,, Yalan Xing, ,, Li Wang, ,, Xiaomeng Wu, ,, Shichao Zhang, ,, Minggao Ouyang, ,",Small,"Volume 21, Issue 15",First published: 16 March 2025,Full Access,page_001.html
Modification of the Solid Electrolyte Interphase on SiGr Electrodes by a Prelithiation Method Using Passivated Lithium Metal Powder,10.1002/batt.202500514,/doi/10.1002/batt.202500514,"Ekin Esen, ,, Iratxe de Meatza, ,, Martin Schmuck, ,, Mohsen Padervand, ,, Martin Winter, ,, Elie Paillard, ,, Masoud Baghernejad, ,",Batteries & Supercaps,Early View,First published: 04 November 2025,Open Access,page_001.html
Realizing a 3 C Fast-Charging Practical Sodium Pouch Cell,10.1002/anie.202501208,/doi/10.1002/anie.202501208,"Jinhui Zhao, ,, Hao Lan, ,, Guangze Yang, ,, Qiaonan Zhu, ,, Shuai Dong, ,, Li Jiang, ,, Gongkai Wang, ,, Wenshuo Wei, ,, Liqiang Wu, ,, Bin Zhou, ,, Daojun Yang, ,, Jiangchun Chen, ,, Jie Yang, ,, Mirtemir Kurbanov, ,, Hua Wang, ,",Angewandte Chemie International Edition,"Volume 64, Issue 15",First published: 28 January 2025,Full Access,page_001.html
