title,doi,href,authors,journal,volume_issue,date,access,source_file
Polymeric concentrated electrolyte enables simultaneous stabilization of electrode/electrolyte interphases for quasi-solid-state lithium metal batteries,10.1002/eom2.12325,/doi/10.1002/eom2.12325,"Guanming Yang, ,, Wangshu Hou, ,, Yanfang Zhai, ,, Zongyuan Chen, ,, Chengyong Liu, ,, Chuying Ouyang, ,, Xiao Liang, ,, Peerasak Paoprasert, ,, Ning Hu, ,, Shufeng Song, ,",EcoMat,"Volume 5, Issue 4",First published: 30 January 2023,Open Access,page_000.html
Hydrofluoric Acid-Removable Additive Optimizing Electrode Electrolyte Interphases with Li+Conductive Moieties for 4.5 V Lithium Metal Batteries,10.1002/adfm.202214422,/doi/10.1002/adfm.202214422,"Gaoxue Jiang, ,, Jiandong Liu, ,, Jian He, ,, Huaping Wang, ,, Shihan Qi, ,, Junda Huang, ,, Daxiong Wu, ,, Jianmin Ma, ,",Advanced Functional Materials,"Volume 33, Issue 12",First published: 10 January 2023,Full Access,page_000.html
Electrolyte Engineering to Construct Robust Interphase with High Ionic Conductivity for Wide Temperature Range Lithium Metal Batteries,10.1002/anie.202414636,/doi/10.1002/anie.202414636,"Yanan Li, ,, Bo Wen, ,, Na Li, ,, Yuanjun Zhao, ,, Yuzhi Chen, ,, Xiangkai Yin, ,, Xinyu Da, ,, Yuxin Ouyang, ,, Xinyang Li, ,, Pengxiang Kong, ,, Shujiang Ding, ,, Kai Xi, ,, Guoxin Gao, ,",Angewandte Chemie International Edition,"Volume 64, Issue 2",First published: 17 November 2024,Full Access,page_000.html
What Can We Learn from Solid State NMR on the Electrode–Electrolyte Interface?,10.1002/adma.201706496,/doi/10.1002/adma.201706496,"Shira Haber, ,, Michal Leskes, ,",Advanced Materials,"Volume 30, Issue 41",First published: 11 June 2018,Full Access,page_000.html
Design Strategies for Electrolytes in Lithium Metal Batteries: Insights into Liquid and Solid-State Systems,10.1002/batt.202500550,/doi/10.1002/batt.202500550,"Un Hwan Lee, ,, Seonhye Park, ,, Joonhee Kang, ,",Batteries & Supercaps,Early View,First published: 05 November 2025,Open Access,page_000.html
Solid Electrolyte Interphase Evolution on Lithium Metal in Contact with Glyme-Based Electrolytes,10.1002/smll.202000756,/doi/10.1002/smll.202000756,"Maryam Nojabaee, ,, Kathrin Küster, ,, Ulrich Starke, ,, Jelena Popovic, ,, Joachim Maier, ,",Small,"Volume 16, Issue 23",First published: 11 May 2020,Open Access,page_000.html
Fundamental Understanding and Quantification of Capacity Losses Involving the Negative Electrode in Sodium-Ion Batteries,10.1002/advs.202306771,/doi/10.1002/advs.202306771,"Le Anh Ma, ,, Alexander Buckel, ,, Andreas Hofmann, ,, Leif Nyholm, ,, Reza Younesi, ,",Advanced Science,"Volume 11, Issue 6",First published: 07 December 2023,Open Access,page_000.html
Compositionally Sequenced Interfacial Layers for High-Energy Li-Metal Batteries,10.1002/advs.202310094,/doi/10.1002/advs.202310094,"Jeong-A Lee, ,, Saehun Kim, ,, Yoonhan Cho, ,, Seong Hyeon Kweon, ,, Haneul Kang, ,, Jeong Hwan Byun, ,, Eunji Kwon, ,, Samuel Seo, ,, Wonkeun Kim, ,, Kyoung Han Ryu, ,, Sang Kyu Kwak, ,, Seungbum Hong, ,, Nam-Soon Choi, ,",Advanced Science,"Volume 11, Issue 17",First published: 26 February 2024,Open Access,page_000.html
A Fluorine-Free Organic/Inorganic Interphase for Highly Reversible Aqueous Zinc Batteries,10.1002/ange.202504003,/doi/10.1002/ange.202504003,"Xingfu Yang, ,, Xiaoning Tang, ,, Jie Lei, ,, Xu Zeng, ,, Jie Wen, ,, Anni Liu, ,, Shu Xia, ,, Qiuyang Luo, ,, Junnan Liu, ,, An Xue, ,, Daliang Han, ,, Guangmin Zhou, ,",Angewandte Chemie,"Volume 137, Issue 26",First published: 22 April 2025,Full Access,page_000.html
Bifunctional Electrolyte Additive Enabling Simultaneous Interphase Formation on Both Electrodes in High-Energy Lithium-Ion Batteries,10.1002/smll.202505772,/doi/10.1002/smll.202505772,"Ankita Das, ,, Felix Pfeiffer, ,, Anindityo Arifiadi, ,, Matthias Weiling, ,, Verena Küpers, ,, Masoud Baghernejad, ,, Martin Winter, ,, Frank Glorius, ,",Small,"Volume 21, Issue 42",First published: 01 September 2025,Open Access,page_000.html
